Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,_delete_reason
https://images.fineartamerica.com/images-medium-large-5/new-york-city-night-nicklas-gustafsson.jpg,A lively night scene in Times Square filled with bright neon signs and crowded streets. I would like to visit it because it shows the energetic atmosphere of the city that never sleeps,United States,Rainy,Night,Winter,City strolling,Excitement,time_of_day_not_morning_evening_afternoon
https://www.casablancahotel.com/_novaimg/galleria/1342141.jpg,"Times Square in New York City during the New Year’s Eve celebration. The bright billboards, massive crowds, and the famous ball drop create one of the most energetic and unforgettable moments in the world. I chose this place because it represents celebration, excitement, and the feeling of a fresh start.",United States,Cold,Night,Winter,Celebration,Happiness,time_of_day_not_morning_evening_afternoon
https://images.ctfassets.net/7mmwp5vb96tc/71299/eb680f506e40a05b30ef3b1693f1d015/norway_northern_lights_hamnoyshutterstock_1504345343.jpg?fm=webp&q=40&w=3840,"“The Aurora Borealis above the snowy village of Hamnøy in Norway. I chose this place because seeing the Northern Lights is a once-in-a-lifetime dream — the glowing colors, quiet Arctic night, and dramatic mountains create a magical and unforgettable atmosphere.",Norway,Clear,Night,Winter,Nature Watching,Curiosity,time_of_day_not_morning_evening_afternoon
https://travel.usnews.com/images/Christ_the_Redeemer_Rio_Getty_Christian_Adams.jpg,"Christ the Redeemer overlooking Rio de Janeiro at sunset. I chose this destination because of its powerful symbolism and the breathtaking view of the city from the mountain. The statue’s open arms and the dramatic landscape create a sense of peace, grandeur, and amazement.",Brazil,Cloudy,Noon,Autumn,Cultural Exploration,Respect,time_of_day_not_morning_evening_afternoon
https://i.pinimg.com/736x/7c/e9/7a/7ce97af94d1ec5e411dafdf5890a62a2.jpg,"A stunning view of the Santiago Bernabéu Stadium during sunset, showcasing the iconic Real Madrid pitch and the massive stands. I chose this place because it represents passion, energy, and one of the most legendary football atmospheres in the world.",Spain,Cloudy,Sunset,Summer,Football,Excitement,time_of_day_not_morning_evening_afternoon
https://photos.travellerspoint.com/577025/large_order_12.JPG,Temple complex surrounded by lush tropical greenery; spiritual atmosphere in an Indonesian setting.,Indonesia,Not Clear,Not Clear,Not Clear,Sightseeing,Curiosity,time_of_day_not_morning_evening_afternoon
https://photos.travellerspoint.com/937256/large_BHU_2026.jpg,Mountain valley in Paro with steep slopes and distant peaks; tranquil Himalayan scenery.,Bhutan,Not Clear,Not Clear,Not Clear,Sightseeing,Adventure,time_of_day_not_morning_evening_afternoon
https://www.worldisbeautiful.eu/up_files/2295_Tajemnicza-zatoka.jpg,Calm lake bay in Masuria framed by dense forest; quiet water and green shoreline.,Poland,Not Clear,Not Clear,Summer,Relaxing,Nostalgia,time_of_day_not_morning_evening_afternoon
https://www.worldisbeautiful.eu/up_files/62-pieniny.jpg,River gorge in the Pieniny range with limestone walls and forested banks.,Poland,Not Clear,Not Clear,Summer,Hiking,Adventure,time_of_day_not_morning_evening_afternoon
https://www.worldisbeautiful.eu/up_files/724_Bystrzyca-Klodzka.jpg,River and hills near Bystrzyca Klodzka with tree-lined banks and a quiet flow.,Poland,Not Clear,Not Clear,Not Clear,Relaxing,Melancholy,time_of_day_not_morning_evening_afternoon
,,,,,,no activity,,time_of_day_not_morning_evening_afternoon
https://images.unsplash.com/photo-1544885935-98dd03b09034?q=100&w=2000&auto=format&fit=crop,"A vibrant night street scene in Tokyo, filled with glowing neon signs, taxis, and people walking through the busy city. I chose this place because it shows the energetic, futuristic side of Japan.",Japan,Clear,Night,Not Clear,City Exploring,Excitement,time_of_day_not_morning_evening_afternoon
https://images.unsplash.com/photo-1606210122158-eeb10e0823bf?q=100&w=2000&auto=format&fit=crop,"A magical night view of Petra’s Treasury lit by hundreds of glowing candles, casting warm light on the ancient carved stone. I chose this place because it feels mystical and full of history.",Jordan,Clear,Night,Not Clear,Cultural Experience,Wonder,time_of_day_not_morning_evening_afternoon
https://www.usnews.com/object/image/00000163-8d5b-d398-ad7f-8dffbc210000/16-colosseum-getty.jpg?update-time=1739894074102&size=responsive970,"angled view of the exterior of the Colosseum, one of the most famous and recognizable ancient structures in the world. I chose it because it has an interesting history of ancient times",Italy,Sunny,Night,Summer,no activity,Adventure,time_of_day_not_morning_evening_afternoon
https://images.unsplash.com/photo-1697999224850-4fbd8ee2f6dc?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Lauterbrunnen is a glacial valley in the Bernese Alps known for its vertical cliffs, mountainous meadows, and numerous waterfalls I would visit To experience the natural beauty of the valley, waterfalls, and mountain scenery. ",Switzerland,Sunny,Night,Spring,no activity,Happiness,time_of_day_not_morning_evening_afternoon
https://images.pexels.com/photos/16849484/pexels-photo-16849484.jpeg,"A moody winter view of Saint Basil�s Cathedral and the Kremlin in Moscow, surrounded by bare trees and patches of snow. I chose this place because of its rich history and unique architecture that stands out even in cold winter weather.",Russia,Snowy,"Afternoon
Afternoon",Winter,Sightseeing,"Melanchol
",time_of_day_not_morning_evening_afternoon
